"","x"
"1",0.255708357575349
"2",0.389207894587889
"3",0.267565656476654
"4",0.12233025804162
"5",0.224387263436802
"6",0.46911983799655
"7",0.236042401893064
"8",0.589409472211264
"9",0.16718469702173
"10",0.187321268511005
"11",0.572309935023077
"12",0.590724107832648
"13",0.108491606567986
"14",0.565738798375241
"15",0.536873650527559
"16",0.271546580852009
"17",0.314758632937446
"18",0.573453334067017
"19",0.326451319409534
"20",0.365724130673334
"21",0.341214046720415
"22",0.263097179960459
"23",0.1253928063903
"24",0.42291636231821
"25",0.138308794028126
"26",0.514632414933294
"27",0.491653475235216
"28",0.268452077661641
"29",0.312706740712747
"30",0.397493058489636
"31",0.498788483231328
"32",0.482916822913103
"33",0.448383988020942
"34",0.118580828793347
"35",0.561624864139594
"36",0.296841489174403
"37",0.351854736940004
"38",0.397238569823094
"39",0.232380691356957
"40",0.337427952815779
"41",0.437648406159133
"42",0.310072867339477
"43",0.471091500041075
"44",0.102438259427436
"45",0.472605897369795
"46",0.399307453911751
"47",0.519091269257478
"48",0.201658558589406
"49",0.151303357700817
"50",0.531716489954852
"51",0.339839573390782
"52",0.469808355229907
"53",0.146054733218625
"54",0.538311403384432
"55",0.446025997889228
"56",0.366696491045877
"57",0.330716797639616
"58",0.16243447563611
"59",0.565438602142967
"60",0.480910683888942
"61",0.591285524214618
"62",0.213203277462162
"63",0.559007029887289
"64",0.530195929366164
"65",0.258968296367675
"66",0.400907376687974
"67",0.500792698608711
"68",0.225810889177956
"69",0.162355266651139
"70",0.499867668398656
"71",0.281532599148341
"72",0.266470472002402
"73",0.336589892883785
"74",0.210125828534365
"75",0.5584475022275
"76",0.226264291233383
"77",0.226992086996324
"78",0.331878802413121
"79",0.29810820533894
"80",0.10883597205393
"81",0.248840687703341
"82",0.42834740774706
"83",0.428669718583114
"84",0.292382320179604
"85",0.241313862870447
"86",0.210233964864165
"87",0.122979059140198
"88",0.279348077857867
"89",0.368782358733006
"90",0.446436182502657
"91",0.468642880464904
"92",0.453023121599108
"93",0.528769984282553
"94",0.488792818412185
"95",0.279177149664611
"96",0.499901006137952
"97",0.58248251050245
"98",0.229313213517889
"99",0.450537354010157
"100",0.45479853535071
